invoices	DELETE	/invoices/estimate/template/{templateId}	delete-estimate-template	Delete Estimate Template	[{"Location-Access":["invoices/estimate.write"]},{"Agency-Access":["invoices/estimate.write"]}]
invoices	GET	/invoices/estimate/template/preview	preview-estimate-template	Preview Estimate Template	[{"Location-Access":["invoices/estimate.readonly"]},{"Agency-Access":["invoices/estimate.readonly"]}]
invoices	POST	/invoices/	create-invoice	Create Invoice	[{"Location-Access":["invoices.write"]},{"Agency-Access":["invoices.write"]}]
invoices	GET	/invoices/	list-invoices	List invoices	[{"Location-Access":["invoices.readonly"]},{"Agency-Access":["invoices.readonly"]}]
links	GET	/links/id/{linkId}	get-link-by-id	Get Link by ID	[{"bearer":[]}]
links	PUT	/links/{linkId}	update-link	Update Link	[{"bearer":["links.write"]}]
links	DELETE	/links/{linkId}	delete-link	Delete Link	[{"bearer":["links.write"]}]
links	GET	/links/search	search-trigger-links	Search Trigger Links	[{"bearer":[]}]
links	GET	/links/	get-links	Get Links	[{"bearer":["links.readonly"]}]
links	POST	/links/	create-link	Create Link	[{"bearer":["links.write"]}]
locations	GET	/locations/search	search-locations	Search	[{"Agency-Access":["locations.readonly"]},{"Location-Access":["locations.readonly"]}]
locations	GET	/locations/{locationId}	get-location	Get Sub-Account (Formerly Location)	[{"Location-Access":["locations.readonly"]},{"Agency-Access":["locations.readonly"]}]
locations	PUT	/locations/{locationId}	put-location	Put Sub-Account (Formerly Location)	[{"Agency-Access":["locations.write"]}]
locations	DELETE	/locations/{locationId}	delete-location	Delete Sub-Account (Formerly Location)	[{"Agency-Access":["locations.internal-access-only"]}]
locations	GET	/locations/{locationId}/tags	get-location-tags	Get Tags	[{"bearer":["locations/tags.readonly"]}]
locations	POST	/locations/{locationId}/tags	create-tag	Create Tag	[{"bearer":["locations/tags.write"]}]
locations	GET	/locations/{locationId}/tags/{tagId}	get-tag-by-id	Get tag by id	[{"bearer":[]}]
locations	PUT	/locations/{locationId}/tags/{tagId}	update-tag	Update tag	[{"bearer":[]}]
locations	DELETE	/locations/{locationId}/tags/{tagId}	delete-tag	Delete tag	[{"bearer":[]}]
locations	POST	/locations/{locationId}/tasks/search	task-search	Task Search Filter	[{"bearer":["locations/tasks.readonly"]}]
locations	GET	/locations/{locationId}/recurring-tasks/{id}	get-recurring-task-by-id	Get Recurring Task By Id	[{"bearer":[]}]
locations	PUT	/locations/{locationId}/recurring-tasks/{id}	update-recurring-task	Update Recurring Task	[{"bearer":[]}]
locations	DELETE	/locations/{locationId}/recurring-tasks/{id}	delete-recurring-task	Delete Recurring Task	[{"bearer":[]}]
locations	POST	/locations/{locationId}/recurring-tasks	create-recurring-task	Create Recurring Task	[{"bearer":[]}]
locations	GET	/locations/{locationId}/customFields	get-custom-fields	Get Custom Fields	[{"bearer":["locations/customFields.readonly"]}]
locations	POST	/locations/{locationId}/customFields	create-custom-field	Create Custom Field	[{"bearer":["locations/customFields.write"]}]
locations	GET	/locations/{locationId}/customFields/{id}	get-custom-field	Get Custom Field	[{"bearer":[]}]
locations	PUT	/locations/{locationId}/customFields/{id}	update-custom-field	Update Custom Field	[{"bearer":[]}]
locations	DELETE	/locations/{locationId}/customFields/{id}	delete-custom-field	Delete Custom Field	[{"bearer":[]}]
